,word1,word1_tag,word2,word2_tag,simi
0,sun,n,sunlight,n,50.0
1,automobile,n,car,n,50.0
2,river,n,water,n,49.0
3,stair,n,staircase,n,49.0
4,morning,n,sunrise,n,49.0
5,rain,n,storm,n,49.0
6,cat,n,kitten,n,49.0
7,dance,n,dancer,n,49.0
8,camera,n,photography,n,49.0
9,cat,n,feline,j,48.0
10,sunny,j,sunshine,n,48.0
11,pregnancy,n,pregnant,j,48.0
12,beach,n,sand,n,48.0
13,bakery,n,bread,n,48.0
14,flower,n,garden,n,48.0
15,grass,n,lawn,n,48.0
16,copper,n,metal,n,48.0
17,photo,n,photography,n,47.0
18,cemetery,n,graveyard,n,47.0
19,gravestone,n,graveyard,n,47.0
20,sun,n,sunshine,n,47.0
21,black,j,dark,j,47.0
22,cathedral,n,church,n,47.0
23,frozen,j,ice,n,47.0
24,station,n,subway,n,47.0
25,child,n,kid,n,46.0
26,aquarium,n,fish,n,46.0
27,light,n,lighting,n,46.0
28,fungus,n,mushroom,n,46.0
29,frost,n,snow,n,46.0
30,burn,v,flame,n,46.0
31,ocean,n,sea,n,46.0
32,candy,n,chocolate,n,46.0
33,car,n,vehicle,n,46.0
34,concert,n,music,n,46.0
35,photo,n,picture,n,46.0
36,grape,n,wine,n,46.0
37,bath,n,bathroom,n,46.0
38,bud,n,flower,n,46.0
39,cat,n,kitty,n,46.0
40,ocean,n,water,n,46.0
41,aircraft,n,airplane,n,46.0
42,butterfly,n,caterpillar,n,46.0
43,hair,n,wig,n,46.0
44,blossom,n,bud,n,46.0
45,highway,n,road,n,46.0
46,bunny,n,rabbit,n,46.0
47,bread,n,sandwich,n,46.0
48,mist,n,misty,j,46.0
49,flower,n,petal,n,46.0
50,airplane,n,flight,n,46.0
51,fish,n,fishing,n,46.0
52,ice,n,snow,n,46.0
53,bright,j,sun,n,45.0
54,shade,n,tree,n,45.0
55,bicycle,n,bike,n,45.0
56,truck,n,vehicle,n,45.0
57,shore,n,water,n,45.0
58,boat,n,fishing,n,45.0
59,dog,n,puppy,n,45.0
60,bride,n,wedding,n,45.0
61,bird,n,hummingbird,n,45.0
62,sea,n,water,n,45.0
63,cow,n,milk,n,45.0
64,bird,n,feather,n,45.0
65,skate,n,skating,n,45.0
66,chapel,n,church,n,45.0
67,branch,n,twig,n,45.0
68,concert,n,musician,n,45.0
69,clothes,n,dress,n,45.0
70,automobile,n,vehicle,n,45.0
71,splash,n,swimming,n,45.0
72,bed,n,furniture,n,45.0
73,aircraft,n,flight,n,45.0
74,reptile,n,snake,n,45.0
75,motorcycle,n,scooter,n,45.0
76,coffee,n,tea,n,45.0
77,feather,n,goose,n,45.0
78,pool,n,swimming,n,45.0
79,eye,n,face,n,45.0
80,dirt,n,dirty,j,45.0
81,railway,n,train,n,45.0
82,harbour,n,port,n,45.0
83,fruit,n,strawberry,n,45.0
84,flight,n,plane,n,45.0
85,smoke,n,smoking,n,45.0
86,ivy,n,plant,n,45.0
87,river,n,stream,n,45.0
88,lake,n,water,n,45.0
89,kitten,n,kitty,n,45.0
90,snow,n,snowman,n,45.0
91,dog,n,terrier,n,45.0
92,daffodil,n,flower,n,45.0
93,pond,n,water,n,45.0
94,show,n,television,n,44.0
95,handwriting,n,write,v,44.0
96,flood,n,water,n,44.0
97,jazz,n,musician,n,44.0
98,eagle,n,feather,n,44.0
99,grape,n,vine,n,44.0
100,bird,n,hawk,n,44.0
101,clothes,n,outfit,n,44.0
102,exhibition,n,museum,n,44.0
103,hand,n,palm,n,44.0
104,grave,n,graveyard,n,44.0
105,berry,n,strawberry,n,44.0
106,forest,n,oak,n,44.0
107,crochet,n,knit,v,44.0
108,bird,n,eagle,n,44.0
109,canine,j,puppy,n,44.0
110,bar,n,cocktail,n,44.0
111,bar,n,pub,n,44.0
112,sunlight,n,sunshine,n,44.0
113,apple,n,fruit,n,44.0
114,sun,n,sunrise,n,44.0
115,gymnastics,n,sport,n,44.0
116,sailing,n,ship,n,44.0
117,beach,n,sea,n,44.0
118,game,n,hockey,n,44.0
119,bed,n,pillow,n,44.0
120,daffodil,n,tulip,n,44.0
