,lyrics,year,year_bin
0,"Color me your color, baby
Color me your car
Color me your color, darling
I know who you are
Come up off your color chart
I know where you're comin' from

Call me (call me) on the line
Call me, call me any, anytime
Call me (call me) my love
You can call me any day or night
Call me

Cover me with kisses, baby
Cover me with love
Roll me in designer sheets
I'll never get enough
Emotions come, I don't know why
Cover up love's alibi

Call me (call me) on the line
Call me, call me any, anytime
Call me (call me) my love
When you're ready, we can share the wine
Call me

Ooo-oo-oo-oo-ooh, he speaks the languages of love
Ooo-oo-oo-oo-ooh, amore, chiamami, chiamami
Ooo-oo-oo-oo-ooh, appelle-moi mon chéri, appelle-moi
Anytime, anyplace, anywhere, any way
Anytime, anyplace, anywhere, any day, any way

Call me (call me) my love
Call me, call me any, anytime
Call me (call me) for a ride
Call me, call me for some overtime

Call me (call me) my love
Call me, call me in a sweet design
Call me (call me) call me
For your lover's lover's alibi

Call me (call me) on the line
Call me, call me any, anytime
Call me (call me)
Oh, call me

Ooh-hoo-hah
Call me (call me) my love
Call me, call me any, anytime",1980,1980s
1,"Come take my hand
You should know me
I've always been in your mind
You know I will be kind
I'll be guiding you

Building your dream has to start now
There's no other road to take
You won't make a mistake
I'll be guiding you

You have to believe we are magic
Nothin' can stand in our way
You have to believe we are magic
Don't let your aim ever stray

And if all your hopes survive
Your destiny will arrive
I'll bring all your dreams alive
For you
I'll bring all your dreams alive
For you

From where I stand, you are home free
The planets align so rare
There's promise in the air
And I'm guiding you

Through every turn I'll be near you
I'll come anytime you call
I'll catch you when you fall
I'll be guiding you

You have to believe we are magic
Nothin' can stand in our way
You have to believe we are magic
Don't let your aim ever stray

And if all your hopes survive
Destiny will arrive
I'll bring all your dreams alive
For you
I'll bring all your dreams alive
For you

You have to believe we are magic
Nothin' can stand in our way
You have to believe we are magic
Don't let your aim ever stray

And if all your hopes survive
Destiny will arrive
I'll bring all your dreams alive
For you
I'll bring all your dreams alive
For you",1980,1980s
2,"Girl, close your eyes
Let that rhythm get into you
Don't try to fight it
There ain't nothin' that you can do

Relax your mind
Lay back and groove with mine
You got to feel that heat
And we can ride the boogie
Share that beat of love

I wanna rock with you (all night)
Dance you into day (sunlight)
I wanna rock with you (all night)
We're gonna rock the night away

Out on the floor
There ain't nobody there but us
Girl, when you dance
There's a magic that must be love

Just take it slow
'Cause we got so far to go
When you feel that heat
And we're gonna ride the boogie
Share that beat of love

I wanna rock with you (all night)
Dance you into day (sunlight)
I wanna rock with you (all night)
We're gonna rock the night away

And when the groove is dead and gone, yeah
You know that love survives
So we can rock forever, on

I wanna rock with you
I wanna groove with you

I wanna rock with you
I wanna groove with you

I wanna rock (all night) with you girl (sunlight)
Rock with you, rock with you (yeah) (all night)
Dance the night away

I wanna rock with you, yeah (all night)
Rock you into day (sunlight)
I wanna rock with you (all night)
Rock the night away

Feel the heat feel the beat (all night)
Rock you into day (sunlight)
I wanna rock (all night)
Rock the night away",1980,1980s
3,"Do that to me one more time
Once is never enough with a man like you
Do that to me one more time
I can never get enough of a man like you

Oh, kiss me like you just did
Oh baby
Do that to me once again

Pass that by me one more time
Once is never enough for my heart to hear
Oh, tell it to me one more time
I can never hear enough while I've got you near

Say those words again like you just did
Oh baby
Tell it to me once again

Do that to me one more time
Once is never enough with a man like you
Woah, do that to me one more time
I can never get enough of a man like you

Oh kiss me like you just did
Oh baby
Do that to me once again

Oh baby
Do that to me once again
Oh baby
Do that to me one more time

(Do it again) one more time
(Do it again) one more time
(Do it again) one more time
(Do it again) one more time
(Do it again) one more time
(Do it again) one more time",1980,1980s
4,"You want a love to last forever
One that will never fade away
I want to help you with your problem
Stick around, I say

Coming up
Coming up, yeah
Coming up like a flower
Coming up, I say

You want a friend you can rely on
One who will never fade away
And if you're searching for an answer
Stick around, I say

Coming up
Coming up
Coming up like a flower
Coming up, yeah

You want some peace and understanding
So everybody can be free
I know that we can get together
We can make it, stick with me

It's coming up
Coming up
Coming up like a flower
Coming up for you and me

Coming up
Coming up

Coming up
Coming up, I say
Coming up like a flower
Coming up, I feel it in my bones
Yeah, yeah yeah yeah

You want a better kind of future
One that everyone can share
You're not alone, we all could use it
Stick around, we're nearly there

Coming up
Coming up everywhere
Coming up like a flower
Coming up for all to share

Coming up, yeah
Coming up, anyway
Coming up like a flower
Coming up",1980,1980s
5,"Gotta make a move to a town that's right for me
Town to keep me movin', keep me groovin' with some energy

Well, I talk about it, talk about it
Talk about it, talk about it
Talk about, talk about
Talk about movin'

Gotta move on
Gotta move on
Gotta move on

A-won't you take me to Funkytown?
Won't you take me to Funkytown?
Won't you take me to Funkytown?
Won't you take me to Funkytown?

Won't you take me to Funkytown?
Won't you take me to Funkytown?
Won't you take me to Funkytown?
Won't you take me to Funkytown?

Gotta make a move to a town that's right for me
Town to keep me movin', keep me groovin' with some energy

Well, I talk about it, talk about it
Talk about it, talk about it
Talk about, talk about
Talk about movin'

Gotta move on
Gotta move on
Gotta move on

A-won't you take me to Funkytown?
Won't you take me to Funkytown?
Won't you take me to Funkytown?
Won't you take me to Funkytown?

Won't you take me to Funkytown?
Won't you take me to Funkytown?
Won't you take me to Funkytown?
Won't you take me to Funkytown?

Won't you take me down to Funkytown?
Won't you take me down to Funkytown?
Won't you take me down to Funkytown?
Won't you take me down to Funkytown?

(Won't you take me to) Funkytown?
(Won't you take me to) Funkytown?
(Won't you take me to) Funkytown?
(Won't you take me to) Funkytown?

Take me, won't you take me?
Take me, won't you take me?
Take me, won't you take me?
Take me, won't you take me?

I wanna go to Funkytown
I wanna go to Funkytown
I wanna go to Funkytown
I wanna go to Funkytown",1980,1980s
6,"What's the matter with the clothes I'm wearing?
""Can't you tell that your tie's too wide?""
Maybe I should buy some old tab collars?
""Welcome back to the age of jive.

Where have you been hidin' out lately, honey?
You can't dress trashy till you spend a lot of money.""
Everybody's talkin' 'bout the new sound
Funny, but it's still rock and roll to me

What's the matter with the car I'm driving?
""Can't you tell that it's out of style?""
Should I get a set of white wall tires?
""Are you gonna cruise the miracle mile?

Nowadays you can't be too sentimental
Your best bet's a true baby blue Continental.""
Hot funk, cool punk, even if it's old junk
It's still rock and roll to me

Oh, it doesn't matter what they say in the papers
'Cause it's always been the same old scene
There's a new band in town
But you can't get the sound from a story in a magazine
Aimed at your average teen

How about a pair of pink sidewinders
And a bright orange pair of pants?
""You could really be a Beau Brummel baby
If you just give it half a chance.

Don't waste your money on a new set of speakers
You get more mileage from a cheap pair of sneakers.""
Next phase, new wave, dance craze, anyways
It's still rock and roll to me

(Alright, Rico)
Wooh, wooh

Ooh, what's the matter with the crowd I'm seeing?
""Don't you know that they're out of touch?""
Should I try to be a straight A student?
""If you are then you think too much.

Don't you know about the new fashion honey?
All you need are looks and a whole lotta money.""
It's the next phase, new wave, dance craze, anyways
It's still rock and roll to me

Everybody's talkin' 'bout the new sound
Funny, but it's still rock and roll to me",1980,1980s
7,"Here in my car
I feel safest of all
I can lock all my doors
It's the only way to live 
In cars

Here in my car
I can only receive
I can listen to you
It keeps me stable for days
In cars

Here in my car
Where the image breaks down
Will you visit me please
If I open my door 
In cars?

Here in my car
I know I've started to think
About leaving tonight
Although nothing seems right 
In cars",1980,1980s
8,"Baby let's cruise away from here
Don't be confused baby, the way is clear
And if you want it you got it forever
This is not a one-night stand
Let the music take your mind
And, just release and you will find

You gonna fly away, plan to go my way
I love it when we're cruisin together
The music is played for love, cruising is made for love
I love it when we're cruisin' together

Baby tonight belongs to us
Everything's right, do what you must
And inch by inch we get closer and closer
To every little part is in touch
Let the music take your mind
Just release and you will find, baby

You gonna fly away, plan to go my way
I love it when we're cruising together
The music is played for love, cruising is made for love
I love it when we're cruisin' together

Cruise with me baby
Cruise...
Ohhh oooh, cruise with me babe

Oh baby let's cruise
Let's flow, let's glide
Oooh let's open up, and go inside
And if you want it you got it forever
I can just stay there inside you
And love you baby, ohhh
Let the music take your mind
Just release and you will find, baby

You gonna fly away, plan to go my way
I love it when we're cruising together
The music is played for love, cruising is made for love
I love it when we're cruisin' together
I love it, I love it, I love it

You gonna fly away, plan to go my way
I love it when we're cruising together
The music is played for love, cruising is made for love",1980,1980s
9,"I realize the best part of love is the thinnest slice
And you don't care for much but I'm not letting go 
I believe there's still much to believe in

So lift your eyes if you feel you can
Reach for a star and I'll show you a plan
I've figured it out what I needed was someone to show me

You know you can't fool me
I've been lovin' you too long
It started so easy, you'll want to carry on (Carry on)

Lost in love and I don't know much
'Cause I'm thinkin' aloud and I fell out of touch
But I'm back on my feet and eager to be what you wanted

So lift your eyes if you feel you can
Reach for a star and I'll show you a plan
I've figured it out what I needed was someone to show me

You know you can't fool me
I've been lovin' you too long
It started so easy, you'll want to carry on (Carry on)

Lost in love and I don't know much
'Cause I'm thinkin' aloud and I fell out of touch
But I'm back on my feet and eager to be what you wanted

(Instrumental)

You know you can't fool me
I've been lovin' you too long
It started so easy, you'll want to carry on
(Carry on)

Lost in love and I don't know much
'Cause I'm thinkin' aloud and I fell out of touch
But I'm back on my feet and eager to be what you wanted

Now I'm lost (Lost in love and I don't know much)
Lost in love ('Cause I'm thinkin' aloud and I fell out of touch)
Lost in love (But I'm back on my feet and eager to be)
Lost in love (What you wanted)

Now I'm lost (Lost in love and I don't know much)
I'm lost in love ('Cause I'm thinkin' aloud and I fell out of touch)
Oh, I'm lost in love (But I'm back on my feet and eager to be)
Lost in love (What you wanted)

Lost in love and I don't know much
(Fade)",1980,1980s
10,"Oh, little Jeannie
You got so much love
Little Jeannie
And you take it where it strikes 
And give it to the likes of me

Oh, little Jeannie
She got so much love
Little Jeannie
So I see you when I can
You make me all a man can be

And I want you to be my acrobat
I want you to be my lover
Oh, there were others 
Who would treat you cruel
And, oh, Jeannie
You were always someone's fool

Little Jeannie
You got so much time
Little Jeannie
Though you've grown beyond your years
You still retain the fears of youth

Oh, little Jeannie
You got so much time
Little Jeannie
But you're burning it up so fast
Searching for some lasting truth

And I want you to be my acrobat
I want you to be my lover
Oh, there were others 
Who would treat you cruel
But, oh, Jeannie
I will always be your fool

And I want you to be my acrobat
I want you to be my lover
Oh, there were others
And I've known quite a few
But oh, Jeannie
I'm still in love with you

(You stepped into my life from a bad dream
Making the life that I had seem suddenly shiny and new)
Oh, Jeannie (Oh, Jeannie)
I'm so in love with you

(You stepped into my life from a bad dream
Making the life that I had seem suddenly shiny and new)
Oh, Jeannie (Oh, Jeannie) 
I'm so in love with you

(You stepped into my life from a bad dream
Making the life that I had seem suddenly shiny and new)
Oh, Jeannie (Oh, Jeannie)
I'm so in love with you

(You stepped into my life from a bad dream) So in love
(Making the life that I had seem suddenly shiny and new) So in love with you
Oh, Jeannie (Oh, Jeannie) 
I'm so in love, I'm so

(You stepped into my life from a bad dream) In love
(Making the life that I had seem suddenly shiny and new) So in love with you",1980,1980s
11,"It is the night
My body's weak
I'm on the run
No time to sleep
I've got to ride
Ride like the wind
To be free again

And I've got such a long way to go
To make it to the border of Mexico
So I'll ride like the wind
Ride like the wind

I was born the son of a lawless man
Always spoke my mind with a gun in my hand
Lived nine lives
Gunned down ten
Gonna ride like the wind

And I've got such a long way to go
To make it to the border of Mexico
So I'll ride like the wind
Ride like the wind

Accused and tried and told to hang
I was nowhere in sight when the church bells rang
Never was the kind to do as I was told
Gonna ride like the wind before I get old

It is the night
My body's weak
I'm on the run
No time to sleep
I've got to ride
Ride like the wind
To be free again

And I've got such a long way to go
To make it to the border of Mexico
So I'll ride like the wind
Ride like the wind",1980,1980s
12,"I said upside down
You're turning me
You're giving love instinctively
Around and round you're turning me

Upside down
Boy, you turn me
Inside out
And 'round and 'round

Upside down
Boy, you turn me
Inside out
And 'round and 'round

Instinctively you give to me
The love that I need
I cherish the moments with you
Respectfully I say to thee
I'm aware that you're cheating
When no one makes me feel like you do

Upside down
Boy, you turn me
Inside out
And 'round and 'round

Upside down
Boy, you turn me
Inside out
And 'round and 'round

I know you got charm and appeal
You always play the field
I'm crazy to think you all mine
As long as the sun continues to shine
There's a place in my heart for you
That's the bottom line

Upside down
Boy, you turn me
Inside out
And 'round and 'round

Upside down
Boy, you turn me
Inside out
And 'round and 'round

Instinctively you give to me
The love that I need
I cherish the moments with you
Respectfully I say to thee
I'm aware that you're cheatin'
But no one makes me feel like you do

Upside down
Boy, you turn me
Inside out
And 'round and 'round

Upside down
Boy, you turn me
Inside out
And 'round and 'round

Upside down
Boy, you turn me
Inside out
And 'round and 'round

Upside down
Boy, you turn me
Inside out
And 'round, 'round

Upside down you're turning me
You're giving love instinctively
'Round and 'round you're turning me
I see to thee respectfully

Upside down you're turning me
You're giving love instinctively
Around and 'round you're turning me
I see to thee respectfully

I said a upside down you're turning me
You're giving love instinctively
Around and 'round you're turning me
I see to thee respectfully

Upside down you're turning me
You're giving love instinctively
'Round and 'round you're turning me
I see to thee respectfully

Upside down you're turning me",1980,1980s
13,"I love you
Yeah

Babe, I love you so
I want you to know
That I'm gonna miss your love
The minute you walk out that door

So please don't go
Don't go
Don't go away
Please don't go
Don't go
I'm begging you to stay

If you leave, at least in my lifetime
I've had one dream come true
I was blessed to be loved
By someone as wonderful as you

So please don't go
Don't go
Don't go away
Please don't go
Don't go
I'm begging you to stay
Hey, hey, hey

Yeah

Babe, I love you so
I, I want you to know
That I'm gonna miss your love
The minute you walk out that door

So please don't go
Don't go
Don't go away
Hey, hey, hey

I need your love
I'm down on my knees
Beggin' please, please, please
Don't go
Don't you hear me, baby?
Don't leave me now
Oh, no, no, no, no
Please don't go
I want you to know
That I, I, I love you so

Please don't leave me, baby
Please don't go",1980,1980s
14,"Babe, I'm leaving, I must be on my way
The time is drawing near
My train is going, I see it in your eyes
The love, the need, your tears

But I'll be lonely without you
And I'll need your love to see me through
So please believe me, my heart is in your hands
And I'll be missing you

You know it's you, babe
Whenever I get weary and I've had enough
Feel like giving up
You know it's you, babe
Giving me the courage and the strength I need
Please believe that it's true
Babe, I love you

You know it's you, babe
Whenever I get weary and I've had enough
Feel like giving up
You know it's you, babe
Giving me the courage and the strength I need
Please believe that it's true
Babe, I love you

Babe, I'm leaving, I'll say it once again
Somehow try to smile
I know the feeling we're trying to forget
If only for a while

'Cause I'll be lonely without you
And I'll need your love to see me through
Please believe me, my heart is in your hands
And I'll be missing you
Babe, I love you

Ooh, babe",1980,1980s
15,"Come bring me your softness
Comfort me through all this madness
Woman, don't you know, with you I'm born again

Come give me your sweetness
Now there's you, there is no weakness
Lying safe within your arms, I'm born again

I was half, not whole
In step with none
Reaching through this world
In need of one

Come show me your kindness
In your arms I know I'll find this
Woman, don't you know, with you I'm born again
Lying safe with you I'm born again

Come bring me your softness
Comfort me through all this madness
Woman, don't you know, with you I'm born again

Come give me your sweetness
Now there's you, there is no weakness
Lying safe within your arms, I'm born again
Woman, don't you know, with you I'm born again

I was half, not whole
In step with none
Reaching through this world
In need of one

Come show me your kindness
In your arms I know I'll find this
Woman, don't you know, with you I'm born again
Lying safe with you I'm born again

Billy Preston & Syreeta",1980,1980s
16,"Honey, you are my shining star
Don't you go away
Wanna be right here where you are
Until my dying day 

So many have tried, tried to find
A love like yours and mine 

Girl, don't you realize
How you hypnotize?
Make me, love you more each time 

Honey I'll never leave you lonely
Give my love to you only
To you only, to you on - ly 

Honey, you are my shining star.
Don't you go away.
Wanna be right here where you are
Until my dying day. 

Feels so good when we're lying here next to each other,
Lost in love. 

Baby, when we touch, love you so much.
You're all I ever dreamed of. 

Honey I'll never leave you lonely;
Give my love to you only,
To you only, to you only. 

Honey, you are my shining star.
Don't you go away.
Wanna be right here where you are
Until my dying day",1980,1980s
17,"Lady, morning's just a moment away
And I'm without you once again
You laughed at me
You said you never needed me
I wonder if you need me now

We played the games that people play
We made mistakes along the way
Somehow I know deep in my heart
You needed me
Remembering the pain if I must say
It's deep in my mind and locked away
But then most of all
I do love you
Still

Those memories
Times I'm sure we'll never forget
Those feelings we can't put aside
For what we had
Sometimes I try to understand
But it's so heavy on my mind

So many dreams that flow away
So many words we didn't say
Two people lost in a storm
Where did we go?
Where'd we go?

Lost what we both had found
You know we let each other down
But then most of all
I do love You
Still

We played the games that people play
We made our mistakes along the way
Somehow I know deep in my heart
You needed me
'Cause I needed you so desperately!
We were too blind to see
But then most of all
I do love You

Still",1980,1980s
18,"I was sitting all alone, watching people getting off, with each other
They were dancing 'cross the floor, turning movement back and forth, they were lovers
One more lonely night for me, I looked up what did I see

Sexy eyes, moving 'cross the floor, couldn't want for more, sexy eyes
Sexy eyes, getting down with you, I wanna move with you, sexy eyes

I got up and took your hand and we both began to dance to the music
Ooh your magic cast a spell, it didn't take long 'til we fell and we knew it
No more lonely nights for me, this is how its gonna be

Sexy eyes, moving 'cross the floor, couldn't want for more, sexy eyes
Sexy eyes, getting down with you, I wanna move with you, sexy eyes

No more lonely nights for me, this is how its gonna be

Sexy eyes, moving 'cross the floor, couldn't want for more, sexy eyes
Sexy eyes, getting down with you, I wanna move with you, sexy eyes

Sexy eyes, getting down with you, I wanna move with you, sexy eyes
Sexy eyes, getting down with you, I wanna move with you, sexy eyes",1980,1980s
