,Unnamed: 0,years,patent_abstract,patent_id
37,213616,1980s,Carbamate-sulfenyl-carbamoyl fluoride compounds are valuable insecticidal compositions and are also useful intermediates in the production of bis-carbamate compounds.,4595769
47,65623,1980s,"An adhesive comprising a cocondensate of formaldehyde with m-alkylphenol or its derivative and alkylresorcin is excellent in the adhesion, heat resistance and flexibility and can bond firmly polyester fibrous material with rubber.",4374962
54,434535,1980s,"A recording and readout information system having atomic scale densities comprises a recording medium having a carrier and means to form a pattern of atomic particles on the surface of the carrier. The atomic particles having an affinity for the carrier and can adhere to the surface to form a relatively adhesive and stable bond. The pattern of atomic particles produced on the carrier are representative of recorded information, e.g. binary represented information, of ultra high density based upon the size and spacing of such particles, which is in the range, for example, of 5 .ANG.(0.5 nm) to 10 .ANG.(1 nm). A preferred embodiment of the invention comprises a recording medium with an adsorbent carrier, means to form a pattern of adsorbate atomic particles on the surface of the adsorbent carrier, the adsorbate atomic particles having an adsorptive affinity for the adsorbent carrier. The adsorptive particles having an adsorptive affinity for the adsorbent carrier due, at least in part, to electrical attraction characteristics between the adsorbate atomic particles and the adsorbent carrier. Readout means, utilizing the tunnel current effect, is employed to determine the presence or absence of the atomic particles on the surface of the carrier and produce an electrical signal representative of the pattern of recorded information on the recording medium.",4826732
75,302537,1980s,"A protection assembly for protecting a body panel as well as a fuel inlet port which is provided in the body panel of a motor vehicle and normally closed by a removable cover cap when refueling of the vehicle is carried out. The assembly comprises a base member destined to be mounted internally in a recess formed in the body panel where the fuel inlet port is provided, which recess is usually covered by a cover member, a supporting member hinged to the base member so as to be unfoldably extended outwardly from the recess in the opened state thereof and serving to support a fueling pistol at the time of refueling the motor vehicle, and a retaining portion formed in the supporting member for serving to hold the removable cap detached from the fuel inlet port.",4744482
79,4881,1980s,"A high voltage semiconductor valve has a plurality of electrically series-connected semiconductor elements, for example thyristors or diodes. These are designed for pressure contact connection and for double-sided cooling and are arranged alternately with liquid cooling bodies in a stack. At least some of the resistors included in the voltage divider of the valve are arranged with their resistive portions located in a passage in the cooling body between the contact surfaces for the two adjacent semiconductor elements.",4578745
83,84118,1980s,"An LSI fabrication process employs pulsed laser energy to selectively tailor individual logic elements of which the building blocks of an LSI array may be configured and to selectively interconnect these laser-configured building blocks. On an LSI chip, an array of universal logic devices or building blocks may be formed together with a matrix pattern of intrablock pathways or signal channels through which the building blocks may be tested and selectively interconnected in order that a prescribed LSI configured system or subsystem may be formed. By selectively directing pulsed laser energy onto prescribed connection regions of the building blocks and onto selected regions of the intrablock pathways, thereby interconnecting and/or disconnecting portions of a conductor matrix pattern relative to the structural components of the various cells, there is obtained a prescribed LSI containing both laser-configured logic devices (building blocks) and laser-configured highways interconnecting the selectively tailored logic devices.",4240094
119,65531,1980s,A process for producing flame-resistant foam resins is disclosed. The flame-resistant foam resin is produced by reacting an organic polyisocyanate with urea.,4258139
126,66013,1980s,"A rubbery composite material comprising a substrate and a rubber composition bonded thereto is prepared by metallizing a substrate with a thin film of zinc, copper, cobalt or an alloy thereof by dry plating such as vacuum deposition, iron plating, DC magnetron sputtering, bipolar sputtering, and RF sputtering processes, and pressing a vulcanizable rubber composition to the metallized substrate under heat and pressure to effect vulcanization bonding.",4872932
157,199128,1980s,At least one of certain silanes is added to a poly(arylene sulfide) composition. The silane increases the electrical insulation resistance of the composition.,4504551
186,273873,1980s,"Electrostatographic reproducing apparatus comprising a reusable electrostatographic imaging web having an insulating imaging surface positioned between a web supply roll and a web take up roll each roll being fastened to the end of the web. The web is provided with means to form an electrostatic latent image on the web and develop said image with a toner image. The image is formed and developed upon the passage of the web from the supply roll to the take up roll, where the web with the toner image thereon is brought into contact with a copy sheet and wound around the take up roll during the first cycle of a two cycle imaging process. During the second cycle of the imaging process the web is unwound from the take up roll and rewound on the supply roll with the toner image being transferred to the copy substrate, separated from the imaging web, with the web being fully rewound on the web supply roll. In the specific embodiment the web comprises a photoconductive insulating layer which is positively driven from the supply roll in both the supply roll unwind and rewind directions and tension is maintained within the web by means of a spring in the web take up roll. Furthermore, the circumference of the take up roll is at least equal to the length of the developed image on the web.",4490033
